pcc: 0.9985630745732188
rmse: 3252.420935395663
baseline_rmse0: 3494.7353669615445
baseline_rmse1: 4187.912309017818
Code,Name,Pred,Actual,Label
005930,삼성전자,70917,68000,74
000660,SK하이닉스,131288,127500,74
207940,삼성바이오로직스,742588,723000,44
005935,삼성전자우,56326,54800,74
005490,POSCO홀딩스,473477,445500,97
005380,현대차,182307,182000,66
051910,LG화학,507249,458000,19
000270,기아,81842,82000,66
035420,NAVER,194570,189100,76
006400,삼성SDI,494831,445500,19
247540,에코프로비엠,240873,213000,19
003670,포스코퓨처엠,314618,274000,19
068270,셀트리온,153031,150100,48
035720,카카오,41216,38950,76
028260,삼성물산,104869,105600,12
012330,현대모비스,216686,221000,66
105560,KB금융,55736,54400,12
086520,에코프로,775099,690000,19
055550,신한지주,35090,35350,12
066570,LG전자,108790,108500,74
096770,SK이노베이션,141218,133000,97
032830,삼성생명,70854,72400,66
003550,LG,79409,80200,12
018260,삼성에스디에스,131931,132100,12
000810,삼성화재,250692,259500,66
323410,카카오뱅크,21006,20450,12
086790,하나금융지주,42358,42550,12
034730,SK,142072,143000,12
015760,한국전력,16361,16530,12
033780,KT&G,87013,86900,12
091990,셀트리온헬스케어,68510,66800,48
138040,메리츠금융지주,48920,50500,12
009150,삼성전기,145754,143000,74
329180,HD현대중공업,110169,114700,14
011200,HMM,14666,14850,59
259960,크래프톤,170151,164800,76
010130,고려아연,473506,476500,97
047050,포스코인터내셔널,61987,56300,97
034020,두산에너빌리티,14401,14060,6
316140,우리금융지주,12311,12370,12
024110,기업은행,11690,11720,12
352820,하이브,237671,228500,16
022100,포스코DX,49441,46150,97
030200,KT,32583,32350,12
042660,한화오션,25119,25400,95
003490,대한항공,20098,19890,65
010950,S-Oil,69867,69800,12
090430,아모레퍼시픽,113434,118800,65
009540,HD한국조선해양,97310,99400,14
010140,삼성중공업,7420,7600,14
001570,금양,103953,93000,28
011170,롯데케미칼,130238,139200,12
086280,현대글로비스,168394,171900,66
326030,SK바이오팜,78364,77200,48
012450,한화에어로스페이스,102070,101000,20
066970,엘앤에프,163395,146700,19
036570,엔씨소프트,238902,228500,76
005830,DB손해보험,84267,86400,66
011070,LG이노텍,236712,227500,91
161390,한국타이어앤테크놀로지,37228,37550,66
088980,맥쿼리인프라,12079,12040,31
005070,코스모신소재,167433,152100,19
307950,현대오토에버,165028,166000,22
302440,SK바이오사이언스,60029,61100,44
051900,LG생활건강,390486,399500,65
251270,넷마블,39816,38250,76
361610,SK아이이테크놀로지,68044,62800,19
028050,삼성엔지니어링,28424,27850,93
267250,HD현대,59549,60800,12
097950,CJ제일제당,279759,281000,54
000100,유한양행,59096,57600,48
004020,현대제철,32381,33250,12
271560,오리온,118220,119700,78
032640,LG유플러스,10115,10220,12
241560,두산밥캣,47323,44800,69
047810,한국항공우주,45550,48950,21
034220,LG디스플레이,12352,12580,74
006800,미래에셋증권,6407,6530,12
028300,HLB,30611,28950,23
196170,알테오젠,56663,54800,48
000720,현대건설,35427,34900,8
005387,현대차2우B,103447,104500,66
078930,GS,39148,39850,12
018880,한온시스템,7134,7150,66
128940,한미약품,280210,278500,48
029780,삼성카드,30778,30900,12
021240,코웨이,42315,42300,12
011780,금호석유,121492,125200,12
011790,SKC,76173,71600,19
